link,price,beds,baths,square footage,property type,property address,Latitude,Longitude,description,Heating,Garage,Parking,Garden,Fireplace,Balcony,Pool,Grocery,Restaurants,Shopping,Cafes,Walking,Cycling,Transit,Driving,City
https://www.remax.ca/bc/vancouver-real-estate/1703-120-milross-avenue-wp_idm00000671-r3019904-lst,749900,2,2,792.0,condo,"1703-120 MILROSS AVENUE, VANCOUVER, BC V6A 4K7",49.2757343,-123.1016346,"Heating: Electric
Fireplace: Yes
Garage: Yes
Parking Features: Underground
Fireplace Features: Gas
Exterior Features: Balcony
",Electric,Yes,Yes,No,Yes,Yes,No,9.0,9.3,10.0,8.9,10.0,9.7,10.0,2.6,VANCOUVER
https://www.remax.ca/bc/vancouver-real-estate/1603-33-smithe-street-wp_idm00000671-r3019903-lst,1549900,2,2,1110.0,condo,"1603-33 SMITHE STREET, VANCOUVER, BC V6B 0B5",49.2746634,-123.1123799,"Heating: Baseboard, Electric
Fireplace: Yes
Garage: Yes
Waterfront: Yes
Parking Features: Underground, Guest
Fireplace Features: Electric
Exterior Features: Balcony
",Baseboard,Yes,Yes,No,Yes,Yes,No,9.5,9.3,10.0,8.3,10.0,9.0,9.4,2.5,VANCOUVER
https://www.remax.ca/bc/richmond-real-estate/406-9311-alexandra-road-wp_idm00000671-r3019915-lst,650000,2,2,732.0,condo,"406-9311 ALEXANDRA ROAD, RICHMOND, BC V6X 0L8",49.1791852,-123.1205697,"Heating: Geothermal
Garage: Yes
Parking Features: Underground
Exterior Features: Playground, Balcony
",Geothermal,Yes,Yes,No,No,Yes,No,9.5,6.9,8.1,4.5,7.2,6.9,4.9,7.3,RICHMOND
https://www.remax.ca/luxury/bc/burnaby-real-estate/5465-abbey-avenue-wp_idm00000671-r3019894-lst,2388000,5,5,2324.0,house,"5465 ABBEY AVENUE, BURNABY, BC V5H 2S9",49.2350916,-123.0064414,"Heating: Forced Air
Fireplace: Yes
Basement: Finished, Exterior Entry
Acreage: 0.18
Garage: Yes
Parking Features: Garage Double, Front Access
Fireplace Features: Gas
Exterior Features: Balcony
",Forced Air,Yes,Yes,No,Yes,Yes,No,8.7,6.2,8.1,5.5,6.8,6.1,7.3,6.5,BURNABY
https://www.remax.ca/bc/vancouver-real-estate/3208-1239-w-georgia-street-wp_idm00000671-r3019899-lst,1098000,2,2,882.0,condo,"3208-1239 W GEORGIA STREET, VANCOUVER, BC V6E 3J5",49.2876944,-123.1257207,"Heating: Electric, Natural Gas
Fireplace: Yes
Garage: Yes
Waterfront: Yes
Parking Features: Additional Parking, Underground, Guest, Rear Access, Garage Door Opener
Fireplace Features: Gas
Exterior Features: Garden, Balcony
",Electric,Yes,Yes,Yes,Yes,Yes,No,8.4,6.1,9.1,8.7,8.4,9.8,10.0,8.8,VANCOUVER
https://www.remax.ca/bc/vancouver-real-estate/232-w-1st-avenue-wp_idm00000671-r3019900-lst,1348000,2,2,1078.0,townhouse,"232 W 1ST AVENUE, VANCOUVER, BC V5Y 3T2",49.2694126,-123.1112593,"Heating: Electric, Hot Water
Garage: Yes
Parking Features: Underground
Exterior Features: Balcony
",Electric,Yes,Yes,No,No,Yes,No,8.3,9.0,8.5,7.0,6.4,9.6,7.3,6.3,VANCOUVER
https://www.remax.ca/bc/north-vancouver-real-estate/106-168-chadwick-court-wp_idm00000671-r3019897-lst,799000,1,1,980.0,condo,"106-168 CHADWICK COURT, NORTH VANCOUVER, BC V7M 3L4",49.3111364,-123.0831631,"Heating: Baseboard, Electric, Natural Gas
Fireplace: Yes
Garage: Yes
Waterfront: Yes
Parking Features: Underground, Side Access
Fireplace Features: Gas
Exterior Features: Balcony
",Baseboard,Yes,Yes,No,Yes,Yes,No,6.1,8.0,4.5,5.8,6.2,8.2,6.2,6.8,NORTH VANCOUVER
https://www.remax.ca/bc/vancouver-real-estate/2209-1331-alberni-street-wp_idm00000671-r3019892-lst,449000,0,0,402.0,condo,"2209-1331 ALBERNI STREET, VANCOUVER, BC V6E 4S1",49.2881788,-123.1277554,"Heating: Baseboard, Electric
Garage: Yes
Parking Features: Garage Under Building, Side Access, Garage Door Opener
Exterior Features: No Outdoor Area
",Baseboard,Yes,Yes,No,No,No,No,6.1,6.2,9.7,8.6,8.1,8.4,9.1,5.1,VANCOUVER
https://www.remax.ca/bc/vancouver-real-estate/109-3588-vanness-avenue-wp_idm00000671-r3019890-lst,565000,1,1,667.0,condo,"109-3588 VANNESS AVENUE, VANCOUVER, BC V5R 6E9",49.2361217,-123.0277763,"Heating: Baseboard
Garage: Yes
Parking Features: Garage Under Building, Guest, Front Access
Exterior Features: Garden, Private Yard
",Baseboard,Yes,Yes,Yes,No,No,No,7.9,6.8,4.1,4.0,6.7,5.7,5.3,7.2,VANCOUVER
https://www.remax.ca/bc/vancouver-real-estate/1404-3581-n-e-kent-avenue-wp_idm00000671-r3019573-lst,680000,2,2,775.0,condo,"1404-3581 N E KENT AVENUE, VANCOUVER, BC V5S 0H6",49.2048187,-123.0273619,"Heating: Heat Pump
Garage: Yes
Parking Features: Underground
Exterior Features: Garden, Balcony
",Heat Pump,Yes,Yes,Yes,No,Yes,No,9.3,7.9,9.5,5.7,7.2,7.9,8.4,3.8,VANCOUVER
https://www.remax.ca/luxury/bc/vancouver-real-estate/772-e-37th-avenue-wp_idm00000671-r3019875-lst,1998000,8,8,2184.0,house,"772 E 37TH AVENUE, VANCOUVER, BC V5W 1G1",49.2363598,-123.0887299,"Heating: Natural Gas
Basement: Exterior Entry
Acreage: 0.09
Parking Features: Other
",Natural Gas,No,Yes,No,No,No,No,8.1,9.6,9.0,8.3,7.6,6.4,9.1,8.6,VANCOUVER
https://www.remax.ca/bc/burnaby-real-estate/2505-6540-burlington-avenue-wp_idm00000671-r3019881-lst,725000,2,2,1228.0,condo,"2505-6540 BURLINGTON AVENUE, BURNABY, BC V5H 4G3",49.2244595,-122.9899072,"Heating: Baseboard, Electric
Garage: Yes
Parking Features: Garage Under Building, Front Access
Exterior Features: Tennis Court(s), Balcony
",Baseboard,Yes,Yes,No,No,Yes,No,6.9,6.6,7.3,7.1,8.8,5.5,8.7,7.8,BURNABY
https://www.remax.ca/bc/vancouver-real-estate/201-1868-w-8th-avenue-wp_idm00000671-r3019880-lst,949000,2,2,913.0,condo,"201-1868 W 8TH AVENUE, VANCOUVER, BC V6J 5G3",49.2643906,-123.1472576,"Heating: Electric, Natural Gas
Fireplace: Yes
Garage: Yes
Parking Features: Garage Under Building, Front Access
Fireplace Features: Gas
Exterior Features: Balcony
",Electric,Yes,Yes,No,Yes,Yes,No,5.3,8.4,4.8,5.8,9.1,7.3,6.3,7.3,VANCOUVER
https://www.remax.ca/bc/vancouver-real-estate/354-250-e-6-avenue-wp_idm00000671-r3019876-lst,700000,1,1,603.0,condo,"354-250 E 6 AVENUE, VANCOUVER, BC V5T 0B7",49.2653684,-123.0997049,"Heating: Baseboard, Electric
Garage: Yes
Parking Features: Underground, Lane Access
Exterior Features: Garden, Balcony
",Baseboard,Yes,Yes,Yes,No,Yes,No,7.6,8.5,6.7,5.7,9.3,5.9,5.9,7.3,VANCOUVER
https://www.remax.ca/bc/vancouver-real-estate/307-29-smithe-mews-wp_idm00000671-r3019868-lst,1159000,1,1,907.0,condo,"307-29 SMITHE MEWS, VANCOUVER, BC V6B 0B6",49.2745862,-123.1122352,"Heating: Baseboard, Electric
Garage: Yes
Waterfront: Yes
Parking Features: Underground, Guest, Front Access, Garage Door Opener
",Baseboard,Yes,Yes,No,No,No,No,6.7,6.3,9.0,7.3,8.5,9.2,8.8,5.2,VANCOUVER
https://www.remax.ca/bc/burnaby-real-estate/212-7058-14th-avenue-wp_idm00000671-r3019860-lst,829000,3,3,973.0,condo,"212-7058 14TH AVENUE, BURNABY, BC V3N 0E6",49.2102634,-122.9530269,"Heating: Baseboard, Electric
Garage: Yes
Parking Features: Underground, Guest
Exterior Features: Balcony
",Baseboard,Yes,Yes,No,No,Yes,No,8.1,6.9,5.5,8.9,5.7,6.8,6.0,9.9,BURNABY
https://www.remax.ca/bc/burnaby-real-estate/2203-2088-madison-avenue-wp_idm00000671-r3019865-lst,938800,2,2,1042.0,condo,"2203-2088 MADISON AVENUE, BURNABY, BC V5C 6T5",49.2658766,-123.0080505,"Heating: Baseboard, Electric
Fireplace: Yes
Garage: Yes
Parking Features: Underground, Side Access
Fireplace Features: Gas
Exterior Features: Balcony
",Baseboard,Yes,Yes,No,Yes,Yes,No,9.7,5.3,8.4,4.7,6.9,8.3,6.3,6.7,BURNABY
https://www.remax.ca/bc/burnaby-real-estate/5109-6461-telford-avenue-wp_idm00000671-r3019848-lst,968000,2,2,976.0,condo,"5109-6461 TELFORD AVENUE, BURNABY, BC V5H 0B7",49.2251115,-123.0040099,"Heating: Electric
Garage: Yes
Parking Features: Underground
Exterior Features: Garden, Balcony
",Electric,Yes,Yes,Yes,No,Yes,No,5.1,10.0,6.4,9.1,5.0,4.9,5.2,7.0,BURNABY
https://www.remax.ca/luxury/bc/vancouver-real-estate/3895-quebec-street-wp_idm00000671-r3019845-lst,2199000,3,3,3095.0,house,"3895 QUEBEC STREET, VANCOUVER, BC V5V 3K7",49.2503038,-123.1031496,"Heating: Forced Air, Natural Gas
Fireplace: Yes
Basement: Full
Acreage: 0.08
Parking Features: Open
Fireplace Features: Wood Burning
Exterior Features: Balcony
",Forced Air,No,Yes,No,Yes,Yes,No,5.1,9.5,8.7,4.9,6.3,6.2,6.5,5.1,VANCOUVER
https://www.remax.ca/luxury/bc/richmond-real-estate/1204-6855-pearson-way-wp_idm00000671-r3019846-lst,3690000,3,3,2045.0,condo,"1204-6855 PEARSON WAY, RICHMOND, BC V7C 0E9",49.1761849,-123.1471966,"Heating: Heat Pump
Garage: Yes
Parking Features: Garage Triple, Underground
Exterior Features: Garden, Balcony
",Heat Pump,Yes,Yes,Yes,No,Yes,No,8.0,8.4,5.3,4.6,9.6,9.9,5.6,9.6,RICHMOND
